Data_Point,Test_Time(s),Date_Time,Step_Time(s),Step_Index,Cycle_Index,Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),dV/dt(V/s),Internal_Resistance(Ohm),Is_FC_Data,AC_Impedance(Ohm),ACI_Phase_Angle(Deg)
1,60.00413333,10/28/2013 16:07:56,59.95108414,1,1,0,2.199407816,0,0,0,0,-3.26157E-05,0,0,0,0
2,120.0203413,10/28/2013 16:08:56,119.9672922,1,1,0,2.200222492,0,0,0,0,0,0,0,0,0
3,180.0332469,10/28/2013 16:09:56,179.9801978,1,1,0,2.200711489,0,0,0,0,3.26157E-05,0,0,0,0
4,240.0477316,10/28/2013 16:10:56,239.9946824,1,1,0,2.201363325,0,0,0,0,3.26157E-05,0,0,0,0
5,300.0622647,10/28/2013 16:11:56,300.0092155,1,1,0,2.201852083,0,0,0,0,6.51836E-05,0,0,0,0
6,360.0768268,10/28/2013 16:12:56,360.0237776,1,1,0,2.20250392,0,0,0,0,6.51836E-05,0,0,0,0
7,420.0913323,10/28/2013 16:13:56,420.0382831,1,1,0,2.203155518,0,0,0,0,6.5136E-05,0,0,0,0
8,480.1058746,10/28/2013 16:14:56,480.0528254,1,1,0,2.203155518,0,0,0,0,-9.77993E-05,0,0,0,0
9,540.1204232,10/28/2013 16:15:56,540.067374,1,1,0,2.203644514,0,0,0,0,-6.51836E-05,0,0,0,0
10,600.1350334,10/28/2013 16:16:56,600.0819842,1,1,0,2.20445919,0,0,0,0,3.2568E-05,0,0,0,0
11,660.1495554,10/28/2013 16:17:56,660.0965062,1,1,0,2.204785109,0,0,0,0,0,0,0,0,0
12,720.1641014,10/28/2013 16:18:56,720.1110522,1,1,0,2.205273867,0,0,0,0,3.2568E-05,0,0,0,0
13,780.1785597,10/28/2013 16:19:56,780.1255105,1,1,0,2.205599785,0,0,0,0,-3.26157E-05,0,0,0,0
14,840.1931012,10/28/2013 16:20:56,840.140052,1,1,0,2.206414461,0,0,0,0,6.51836E-05,0,0,0,0
15,900.2076313,10/28/2013 16:21:56,900.154582,1,1,0,2.206414461,0,0,0,0,0,0,0,0,0
16,960.2222201,10/28/2013 16:22:56,960.1691709,1,1,0,2.206903458,0,0,0,0,0,0,0,0,0
17,1020.236708,10/28/2013 16:23:56,1020.183659,1,1,0,2.207392216,0,0,0,0,3.2568E-05,0,0,0,0
18,1080.251254,10/28/2013 16:24:56,1080.198205,1,1,0,2.207880974,0,0,0,0,9.77516E-05,0,0,0,0
19,1140.265783,10/28/2013 16:25:57,1140.212733,1,1,0,2.207880974,0,0,0,0,-3.26157E-05,0,0,0,0
20,1200.280317,10/28/2013 16:26:57,1200.227267,1,1,0,2.208206892,0,0,0,0,-3.26157E-05,0,0,0,0
21,1260.294947,10/28/2013 16:27:57,1260.241898,1,1,0,2.20853281,0,0,0,0,-3.26157E-05,0,0,0,0
22,1320.3094,10/28/2013 16:28:57,1320.256351,1,1,0,2.209184647,0,0,0,0,3.26157E-05,0,0,0,0
23,1380.323935,10/28/2013 16:29:57,1380.270886,1,1,0,2.209184647,0,0,0,0,-6.51836E-05,0,0,0,0
24,1440.338462,10/28/2013 16:30:57,1440.285413,1,1,0,2.209510565,0,0,0,0,0,0,0,0,0
25,1500.353005,10/28/2013 16:31:57,1500.299956,1,1,0,2.209999323,0,0,0,0,0,0,0,0,0
26,1560.367536,10/28/2013 16:32:57,1560.314487,1,1,0,2.210325241,0,0,0,0,0,0,0,0,0
27,1620.382162,10/28/2013 16:33:57,1620.329113,1,1,0,2.210488319,0,0,0,0,0,0,0,0,0
28,1680.396635,10/28/2013 16:34:57,1680.343585,1,1,0,2.210977077,0,0,0,0,0,0,0,0,0
29,1740.411241,10/28/2013 16:35:57,1740.358192,1,1,0,2.211139917,0,0,0,0,0,0,0,0,0
30,1800.425775,10/28/2013 16:36:57,1800.372726,1,1,0,2.211465836,0,0,0,0,3.2568E-05,0,0,0,0
31,1860.440228,10/28/2013 16:37:57,1860.387179,1,1,0,2.211628914,0,0,0,0,3.26157E-05,0,0,0,0
32,1920.454761,10/28/2013 16:38:57,1920.401711,1,1,0,2.211791754,0,0,0,0,0,0,0,0,0
33,1980.469334,10/28/2013 16:39:57,1980.416284,1,1,0,2.211954832,0,0,0,0,0,0,0,0,0
34,2040.483974,10/28/2013 16:40:57,2040.430924,1,1,0,2.212280512,0,0,0,0,0,0,0,0,0
35,2100.498364,10/28/2013 16:41:57,2100.445315,1,1,0,2.21244359,0,0,0,0,0,0,0,0,0
36,2160.512925,10/28/2013 16:42:57,2160.459876,1,1,0,2.21260643,0,0,0,0,-3.26157E-05,0,0,0,0
37,2220.527451,10/28/2013 16:43:57,2220.474402,1,1,0,2.212932348,0,0,0,0,-3.26157E-05,0,0,0,0
38,2280.542044,10/28/2013 16:44:57,2280.488995,1,1,0,2.213095427,0,0,0,0,-3.2568E-05,0,0,0,0
39,2340.556565,10/28/2013 16:45:57,2340.503516,1,1,0,2.213747025,0,0,0,0,9.77516E-05,0,0,0,0
40,2400.571032,10/28/2013 16:46:57,2400.517982,1,1,0,2.213584185,0,0,0,0,0,0,0,0,0
41,2460.585572,10/28/2013 16:47:57,2460.532523,1,1,0,2.213747025,0,0,0,0,0,0,0,0,0
42,2520.600105,10/28/2013 16:48:57,2520.547055,1,1,0,2.214398861,0,0,0,0,6.51836E-05,0,0,0,0
43,2580.614637,10/28/2013 16:49:57,2580.561588,1,1,0,2.214236021,0,0,0,0,0,0,0,0,0
44,2640.629179,10/28/2013 16:50:57,2640.576129,1,1,0,2.214561939,0,0,0,0,3.26157E-05,0,0,0,0
45,2700.643777,10/28/2013 16:51:57,2700.590728,1,1,0,2.214561939,0,0,0,0,-6.51836E-05,0,0,0,0
46,2760.658238,10/28/2013 16:52:57,2760.605189,1,1,0,2.214887857,0,0,0,0,0,0,0,0,0
47,2820.672763,10/28/2013 16:53:57,2820.619713,1,1,0,2.215213537,0,0,0,0,0,0,0,0,0
48,2880.687292,10/28/2013 16:54:57,2880.634243,1,1,0,2.215213537,0,0,0,0,-6.51836E-05,0,0,0,0
49,2940.701833,10/28/2013 16:55:57,2940.648784,1,1,0,2.215376616,0,0,0,0,-3.2568E-05,0,0,0,0
50,3000.716376,10/28/2013 16:56:57,3000.663327,1,1,0,2.215865374,0,0,0,0,3.2568E-05,0,0,0,0
51,3060.730965,10/28/2013 16:57:57,3060.677916,1,1,0,2.215702534,0,0,0,0,0,0,0,0,0
52,3120.745422,10/28/2013 16:58:57,3120.692373,1,1,0,2.215865374,0,0,0,0,-3.26157E-05,0,0,0,0
53,3180.760125,10/28/2013 16:59:57,3180.707076,1,1,0,2.216028452,0,0,0,0,0,0,0,0,0
54,3240.774505,10/28/2013 17:00:57,3240.721455,1,1,0,2.21635437,0,0,0,0,3.26157E-05,0,0,0,0
55,3300.78902,10/28/2013 17:01:57,3300.735971,1,1,0,2.21651721,0,0,0,0,3.2568E-05,0,0,0,0
56,3360.803559,10/28/2013 17:02:57,3360.75051,1,1,0,2.21668005,0,0,0,0,-3.26157E-05,0,0,0,0
57,3420.818095,10/28/2013 17:03:57,3420.765046,1,1,0,2.21668005,0,0,0,0,-3.26157E-05,0,0,0,0
58,3480.832637,10/28/2013 17:04:57,3480.779588,1,1,0,2.217005968,0,0,0,0,0,0,0,0,0
59,3540.847167,10/28/2013 17:05:57,3540.794118,1,1,0,2.217005968,0,0,0,0,-3.26157E-05,0,0,0,0
60,3600.861558,10/28/2013 17:06:57,3600.808509,1,1,0,2.217494965,0,0,0,0,9.77993E-05,0,0,0,0
61,3660.876235,10/28/2013 17:07:57,3660.823186,1,1,0,2.217494965,0,0,0,0,3.26157E-05,0,0,0,0
62,3720.890773,10/28/2013 17:08:57,3720.837724,1,1,0,2.217657804,0,0,0,0,0,0,0,0,0
63,3780.905283,10/28/2013 17:09:57,3780.852233,1,1,0,2.217983723,0,0,0,0,0,0,0,0,0
64,3840.920018,10/28/2013 17:10:57,3840.866969,1,1,0,2.217983723,0,0,0,0,-3.26157E-05,0,0,0,0
65,3900.934587,10/28/2013 17:11:57,3900.881538,1,1,0,2.218146801,0,0,0,0,-3.2568E-05,0,0,0,0
66,3960.949502,10/28/2013 17:12:57,3960.896452,1,1,0,2.218309641,0,0,0,0,-3.2568E-05,0,0,0,0
67,4020.963474,10/28/2013 17:13:57,4020.910424,1,1,0,2.218635559,0,0,0,0,0,0,0,0,0
68,4080.978023,10/28/2013 17:14:57,4080.924974,1,1,0,2.218635559,0,0,0,0,-3.2568E-05,0,0,0,0
69,4140.992569,10/28/2013 17:15:57,4140.93952,1,1,0,2.218798399,0,0,0,0,0,0,0,0,0
70,4201.007041,10/28/2013 17:16:57,4200.953992,1,1,0,2.218961477,0,0,0,0,-3.2568E-05,0,0,0,0
71,4261.021575,10/28/2013 17:17:57,4260.968526,1,1,0,2.219287395,0,0,0,0,6.51836E-05,0,0,0,0
72,4321.036182,10/28/2013 17:18:57,4320.983133,1,1,0,2.219287395,0,0,0,0,0,0,0,0,0
73,4381.050695,10/28/2013 17:19:57,4380.997646,1,1,0,2.219287395,0,0,0,0,-3.2568E-05,0,0,0,0
74,4441.065151,10/28/2013 17:20:57,4441.012102,1,1,0,2.219613314,0,0,0,0,0,0,0,0,0
75,4501.079678,10/28/2013 17:21:57,4501.026629,1,1,0,2.219450235,0,0,0,0,-3.26157E-05,0,0,0,0
76,4561.094222,10/28/2013 17:22:57,4561.041173,1,1,0,2.219613314,0,0,0,0,0,0,0,0,0
77,4621.10875,10/28/2013 17:23:57,4621.055701,1,1,0,2.219776154,0,0,0,0,-3.2568E-05,0,0,0,0
78,4681.123289,10/28/2013 17:24:57,4681.070239,1,1,0,2.219938993,0,0,0,0,-6.51836E-05,0,0,0,0
79,4741.137835,10/28/2013 17:25:57,4741.084786,1,1,0,2.220102072,0,0,0,0,0,0,0,0,0
80,4801.152413,10/28/2013 17:26:57,4801.099364,1,1,0,2.220264912,0,0,0,0,0,0,0,0,0
81,4861.16688,10/28/2013 17:27:57,4861.113831,1,1,0,2.22042799,0,0,0,0,0,0,0,0,0
82,4921.181416,10/28/2013 17:28:57,4921.128367,1,1,0,2.220753908,0,0,0,0,3.26157E-05,0,0,0,0
83,4981.195945,10/28/2013 17:29:58,4981.142896,1,1,0,2.220753908,0,0,0,0,0,0,0,0,0
84,5041.210555,10/28/2013 17:30:58,5041.157506,1,1,0,2.220916748,0,0,0,0,3.2568E-05,0,0,0,0
85,5101.225033,10/28/2013 17:31:58,5101.171984,1,1,0,2.220916748,0,0,0,0,-3.26157E-05,0,0,0,0
86,5161.239564,10/28/2013 17:32:58,5161.186514,1,1,0,2.221242666,0,0,0,0,3.2568E-05,0,0,0,0
87,5221.254083,10/28/2013 17:33:58,5221.201033,1,1,0,2.221242666,0,0,0,0,0,0,0,0,0
88,5281.268619,10/28/2013 17:34:58,5281.21557,1,1,0,2.221405506,0,0,0,0,3.2568E-05,0,0,0,0
89,5341.283143,10/28/2013 17:35:58,5341.230094,1,1,0,2.221568584,0,0,0,0,6.51836E-05,0,0,0,0
90,5401.297693,10/28/2013 17:36:58,5401.244644,1,1,0,2.221731424,0,0,0,0,0,0,0,0,0
91,5461.312219,10/28/2013 17:37:58,5461.25917,1,1,0,2.221568584,0,0,0,0,0,0,0,0,0
92,5521.326821,10/28/2013 17:38:58,5521.273771,1,1,0,2.221894503,0,0,0,0,-3.2568E-05,0,0,0,0
93,5581.341306,10/28/2013 17:39:58,5581.288257,1,1,0,2.221894503,0,0,0,0,-3.2568E-05,0,0,0,0
94,5641.355842,10/28/2013 17:40:58,5641.302793,1,1,0,2.222057343,0,0,0,0,0,0,0,0,0
95,5701.370385,10/28/2013 17:41:58,5701.317336,1,1,0,2.222220421,0,0,0,0,0,0,0,0,0
96,5761.384888,10/28/2013 17:42:58,5761.331839,1,1,0,2.222546339,0,0,0,0,6.51836E-05,0,0,0,0
97,5821.399422,10/28/2013 17:43:58,5821.346373,1,1,0,2.222546339,0,0,0,0,0,0,0,0,0
98,5881.41408,10/28/2013 17:44:58,5881.36103,1,1,0,2.222546339,0,0,0,0,-3.2568E-05,0,0,0,0
99,5941.42857,10/28/2013 17:45:58,5941.375521,1,1,0,2.222709179,0,0,0,0,0,0,0,0,0
100,6001.443046,10/28/2013 17:46:58,6001.389996,1,1,0,2.223035097,0,0,0,0,6.51836E-05,0,0,0,0
101,6061.457571,10/28/2013 17:47:58,6061.404522,1,1,0,2.222872019,0,0,0,0,-3.26157E-05,0,0,0,0
102,6121.47218,10/28/2013 17:48:58,6121.419131,1,1,0,2.223197937,0,0,0,0,3.2568E-05,0,0,0,0
103,6181.486696,10/28/2013 17:49:58,6181.433647,1,1,0,2.223361015,0,0,0,0,6.51836E-05,0,0,0,0
104,6241.501155,10/28/2013 17:50:58,6241.448106,1,1,0,2.223197937,0,0,0,0,3.2568E-05,0,0,0,0
105,6301.515749,10/28/2013 17:51:58,6301.4627,1,1,0,2.223197937,0,0,0,0,-3.26157E-05,0,0,0,0
106,6361.530219,10/28/2013 17:52:58,6361.47717,1,1,0,2.223361015,0,0,0,0,0,0,0,0,0
107,6421.544757,10/28/2013 17:53:58,6421.491708,1,1,0,2.223849773,0,0,0,0,6.51836E-05,0,0,0,0
108,6481.559342,10/28/2013 17:54:58,6481.506293,1,1,0,2.223523855,0,0,0,0,0,0,0,0,0
109,6541.573812,10/28/2013 17:55:58,6541.520763,1,1,0,2.223849773,0,0,0,0,0,0,0,0,0
