Data_Point,Test_Time(s),Date_Time,Step_Time(s),Step_Index,Cycle_Index,Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),dV/dt(V/s),Internal_Resistance(Ohm),Is_FC_Data,AC_Impedance(Ohm),ACI_Phase_Angle(Deg)
1,60.00383394,09/06/2013 14:01:15,59.96638123,1,1,0,3.599117279,0,0,0,0,6.51836E-05,0,0,0,0
2,120.018513,09/06/2013 14:02:15,119.9810604,1,1,0,3.599117279,0,0,0,0,3.26157E-05,0,0,0,0
3,180.032915,09/06/2013 14:03:15,179.9954622,1,1,0,3.599117279,0,0,0,0,0,0,0,0,0
4,240.0474974,09/06/2013 14:04:15,240.0100447,1,1,0,3.599117279,0,0,0,0,0,0,0,0,0
5,300.0620656,09/06/2013 14:05:15,300.0246128,1,1,0,3.598954201,0,0,0,0,0,0,0,0,0
6,360.0766725,09/06/2013 14:06:15,360.0392197,1,1,0,3.598791361,0,0,0,0,-3.2568E-05,0,0,0,0
7,420.0913234,09/06/2013 14:07:15,420.0538706,1,1,0,3.598954201,0,0,0,0,3.2568E-05,0,0,0,0
8,480.1059003,09/06/2013 14:08:15,480.0684475,1,1,0,3.598954201,0,0,0,0,3.2568E-05,0,0,0,0
9,540.1221514,09/06/2013 14:09:15,540.0846987,1,1,0,3.599117279,0,0,0,0,3.26157E-05,0,0,0,0
10,600.1350695,09/06/2013 14:10:15,600.0976168,1,1,0,3.598628521,0,0,0,0,-6.5136E-05,0,0,0,0
11,660.149613,09/06/2013 14:11:15,660.1121602,1,1,0,3.598954201,0,0,0,0,3.2568E-05,0,0,0,0
12,720.1642768,09/06/2013 14:12:15,720.126824,1,1,0,3.598954201,0,0,0,0,6.5136E-05,0,0,0,0
13,780.1788809,09/06/2013 14:13:15,780.1414281,1,1,0,3.598628521,0,0,0,0,-3.2568E-05,0,0,0,0
14,840.1933887,09/06/2013 14:14:15,840.1559359,1,1,0,3.598628521,0,0,0,0,0,0,0,0,0
