time, step, current, voltage, chgAh, disAh
6901.0717, 1.0000, -0.0000, 3.5880, 0.0000, 0.0000,
6902.0717, 1.0000, -0.0000, 3.5880, 0.0000, 0.0000,
6903.0717, 1.0000, -0.0000, 3.5880, 0.0000, 0.0000,
6904.0717, 1.0000, -0.0000, 3.5880, 0.0000, 0.0000,
6905.0717, 1.0000, -0.0000, 3.5880, 0.0000, 0.0000,
6906.0717, 1.0000, -0.0000, 3.5880, 0.0000, 0.0000,
6907.0717, 1.0000, -0.0000, 3.5880, 0.0000, 0.0000,
6908.0717, 1.0000, -0.0000, 3.5880, 0.0000, 0.0000,
6909.0717, 1.0000, -0.0000, 3.5880, 0.0000, 0.0000,
6910.0717, 1.0000, -0.0000, 3.5880, 0.0000, 0.0000,
6911.0717, 1.0000, -0.0000, 3.5880, 0.0000, 0.0000,
6912.0717, 1.0000, -0.0000, 3.5880, 0.0000, 0.0000,
6913.0717, 1.0000, -0.0000, 3.5880, 0.0000, 0.0000,
6914.0717, 1.0000, -0.0000, 3.5880, 0.0000, 0.0000,
6915.0717, 1.0000, -0.0000, 3.5880, 0.0000, 0.0000,
6916.0717, 1.0000, -0.0000, 3.5880, 0.0000, 0.0000,
6917.0717, 1.0000, -0.0000, 3.5880, 0.0000, 0.0000,
6918.0717, 1.0000, -0.0000, 3.5880, 0.0000, 0.0000,
6919.0717, 1.0000, -0.0000, 3.5880, 0.0000, 0.0000,
6920.0717, 1.0000, -0.0000, 3.5881, 0.0000, 0.0000,
6921.0717, 1.0000, -0.0000, 3.5881, 0.0000, 0.0000,
6922.0717, 1.0000, -0.0000, 3.5881, 0.0000, 0.0000,
6923.0717, 1.0000, -0.0000, 3.5881, 0.0000, 0.0000,
6924.0717, 1.0000, -0.0000, 3.5881, 0.0000, 0.0000,
6925.0717, 1.0000, -0.0000, 3.5881, 0.0000, 0.0000,
6926.0717, 1.0000, -0.0000, 3.5881, 0.0000, 0.0000,
6927.0717, 1.0000, -0.0000, 3.5881, 0.0000, 0.0000,
6928.0717, 1.0000, -0.0000, 3.5881, 0.0000, 0.0000,
