time, step, current, voltage, chgAh, disAh
60.0011, 1.0000, -0.0000, 2.8736, 0.0000, 0.0000,
61.0011, 1.0000, -0.0000, 2.8735, 0.0000, 0.0000,
62.0011, 1.0000, -0.0000, 2.8735, 0.0000, 0.0000,
63.0011, 1.0000, -0.0000, 2.8735, 0.0000, 0.0000,
64.0011, 1.0000, -0.0000, 2.8735, 0.0000, 0.0000,
65.0011, 1.0000, -0.0000, 2.8735, 0.0000, 0.0000,
66.0011, 1.0000, -0.0000, 2.8735, 0.0000, 0.0000,
67.0011, 1.0000, -0.0000, 2.8735, 0.0000, 0.0000,
68.0011, 1.0000, -0.0000, 2.8735, 0.0000, 0.0000,
69.0011, 1.0000, -0.0000, 2.8735, 0.0000, 0.0000,
70.0011, 1.0000, -0.0000, 2.8735, 0.0000, 0.0000,
71.0011, 1.0000, -0.0000, 2.8735, 0.0000, 0.0000,
72.0011, 1.0000, -0.0000, 2.8735, 0.0000, 0.0000,
73.0011, 1.0000, -0.0000, 2.8734, 0.0000, 0.0000,
74.0011, 1.0000, -0.0000, 2.8734, 0.0000, 0.0000,
75.0011, 1.0000, -0.0000, 2.8734, 0.0000, 0.0000,
76.0011, 1.0000, -0.0000, 2.8734, 0.0000, 0.0000,
77.0011, 1.0000, -0.0000, 2.8734, 0.0000, 0.0000,
78.0011, 1.0000, -0.0000, 2.8734, 0.0000, 0.0000,
79.0011, 1.0000, -0.0000, 2.8734, 0.0000, 0.0000,
80.0011, 1.0000, -0.0000, 2.8734, 0.0000, 0.0000,
81.0011, 1.0000, -0.0000, 2.8734, 0.0000, 0.0000,
82.0011, 1.0000, -0.0000, 2.8734, 0.0000, 0.0000,
83.0011, 1.0000, -0.0000, 2.8734, 0.0000, 0.0000,
84.0011, 1.0000, -0.0000, 2.8734, 0.0000, 0.0000,
85.0011, 1.0000, -0.0000, 2.8733, 0.0000, 0.0000,
86.0011, 1.0000, -0.0000, 2.8733, 0.0000, 0.0000,
87.0011, 1.0000, -0.0000, 2.8733, 0.0000, 0.0000,
88.0011, 1.0000, -0.0000, 2.8733, 0.0000, 0.0000,
89.0011, 1.0000, -0.0000, 2.8733, 0.0000, 0.0000,
90.0011, 1.0000, -0.0000, 2.8733, 0.0000, 0.0000,
91.0011, 1.0000, -0.0000, 2.8733, 0.0000, 0.0000,
92.0011, 1.0000, -0.0000, 2.8733, 0.0000, 0.0000,
93.0011, 1.0000, -0.0000, 2.8733, 0.0000, 0.0000,
94.0011, 1.0000, -0.0000, 2.8733, 0.0000, 0.0000,
95.0011, 1.0000, -0.0000, 2.8733, 0.0000, 0.0000,
96.0011, 1.0000, -0.0000, 2.8733, 0.0000, 0.0000,
97.0011, 1.0000, -0.0000, 2.8733, 0.0000, 0.0000,
98.0011, 1.0000, -0.0000, 2.8732, 0.0000, 0.0000,
99.0011, 1.0000, -0.0000, 2.8732, 0.0000, 0.0000,
100.0011, 1.0000, -0.0000, 2.8732, 0.0000, 0.0000,
101.0011, 1.0000, -0.0000, 2.8732, 0.0000, 0.0000,
102.0011, 1.0000, -0.0000, 2.8732, 0.0000, 0.0000,
103.0011, 1.0000, -0.0000, 2.8732, 0.0000, 0.0000,
104.0011, 1.0000, -0.0000, 2.8732, 0.0000, 0.0000,
105.0011, 1.0000, -0.0000, 2.8732, 0.0000, 0.0000,
106.0011, 1.0000, -0.0000, 2.8732, 0.0000, 0.0000,
107.0011, 1.0000, -0.0000, 2.8732, 0.0000, 0.0000,
108.0011, 1.0000, -0.0000, 2.8732, 0.0000, 0.0000,
109.0011, 1.0000, -0.0000, 2.8732, 0.0000, 0.0000,
110.0011, 1.0000, -0.0000, 2.8731, 0.0000, 0.0000,
111.0011, 1.0000, -0.0000, 2.8731, 0.0000, 0.0000,
112.0011, 1.0000, -0.0000, 2.8731, 0.0000, 0.0000,
113.0011, 1.0000, -0.0000, 2.8731, 0.0000, 0.0000,
114.0011, 1.0000, -0.0000, 2.8731, 0.0000, 0.0000,
115.0011, 1.0000, -0.0000, 2.8731, 0.0000, 0.0000,
116.0011, 1.0000, -0.0000, 2.8731, 0.0000, 0.0000,
117.0011, 1.0000, -0.0000, 2.8731, 0.0000, 0.0000,
118.0011, 1.0000, -0.0000, 2.8731, 0.0000, 0.0000,
119.0011, 1.0000, -0.0000, 2.8731, 0.0000, 0.0000,
120.0011, 1.0000, -0.0000, 2.8731, 0.0000, 0.0000,
121.0011, 1.0000, -0.0000, 2.8731, 0.0000, 0.0000,
122.0011, 1.0000, -0.0000, 2.8731, 0.0000, 0.0000,
123.0011, 1.0000, -0.0000, 2.8731, 0.0000, 0.0000,
124.0011, 1.0000, -0.0000, 2.8731, 0.0000, 0.0000,
125.0011, 1.0000, -0.0000, 2.8731, 0.0000, 0.0000,
126.0011, 1.0000, -0.0000, 2.8730, 0.0000, 0.0000,
127.0011, 1.0000, -0.0000, 2.8730, 0.0000, 0.0000,
128.0011, 1.0000, -0.0000, 2.8730, 0.0000, 0.0000,
129.0011, 1.0000, -0.0000, 2.8730, 0.0000, 0.0000,
130.0011, 1.0000, -0.0000, 2.8730, 0.0000, 0.0000,
131.0011, 1.0000, -0.0000, 2.8730, 0.0000, 0.0000,
132.0011, 1.0000, -0.0000, 2.8730, 0.0000, 0.0000,
133.0011, 1.0000, -0.0000, 2.8730, 0.0000, 0.0000,
134.0011, 1.0000, -0.0000, 2.8730, 0.0000, 0.0000,
135.0011, 1.0000, -0.0000, 2.8730, 0.0000, 0.0000,
136.0011, 1.0000, -0.0000, 2.8730, 0.0000, 0.0000,
137.0011, 1.0000, -0.0000, 2.8730, 0.0000, 0.0000,
138.0011, 1.0000, -0.0000, 2.8730, 0.0000, 0.0000,
139.0011, 1.0000, -0.0000, 2.8730, 0.0000, 0.0000,
140.0011, 1.0000, -0.0000, 2.8730, 0.0000, 0.0000,
141.0011, 1.0000, -0.0000, 2.8730, 0.0000, 0.0000,
142.0011, 1.0000, -0.0000, 2.8730, 0.0000, 0.0000,
143.0011, 1.0000, -0.0000, 2.8730, 0.0000, 0.0000,
144.0011, 1.0000, -0.0000, 2.8730, 0.0000, 0.0000,
145.0011, 1.0000, -0.0000, 2.8730, 0.0000, 0.0000,
146.0011, 1.0000, -0.0000, 2.8730, 0.0000, 0.0000,
147.0011, 1.0000, -0.0000, 2.8730, 0.0000, 0.0000,
148.0011, 1.0000, -0.0000, 2.8730, 0.0000, 0.0000,
149.0011, 1.0000, -0.0000, 2.8730, 0.0000, 0.0000,
150.0011, 1.0000, -0.0000, 2.8730, 0.0000, 0.0000,
151.0011, 1.0000, -0.0000, 2.8730, 0.0000, 0.0000,
152.0011, 1.0000, -0.0000, 2.8730, 0.0000, 0.0000,
153.0011, 1.0000, -0.0000, 2.8730, 0.0000, 0.0000,
154.0011, 1.0000, -0.0000, 2.8730, 0.0000, 0.0000,
155.0011, 1.0000, -0.0000, 2.8730, 0.0000, 0.0000,
156.0011, 1.0000, -0.0000, 2.8730, 0.0000, 0.0000,
157.0011, 1.0000, -0.0000, 2.8730, 0.0000, 0.0000,
158.0011, 1.0000, -0.0000, 2.8730, 0.0000, 0.0000,
159.0011, 1.0000, -0.0000, 2.8730, 0.0000, 0.0000,
