Data_Point,Test_Time(s),Date_Time,Step_Time(s),Step_Index,Cycle_Index,Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),dV/dt(V/s),Internal_Resistance(Ohm),Is_FC_Data,AC_Impedance(Ohm),ACI_Phase_Angle(Deg)
1,60.00205637,11/04/2013 08:17:30,60.00205665,1,1,0,3.359911919,0,0,0,0,3.2568E-05,0,0,0,0
2,120.0168176,11/04/2013 08:18:30,120.016818,1,1,0,3.360237837,0,0,0,0,-3.26157E-05,0,0,0,0
3,180.0311469,11/04/2013 08:19:30,180.0311472,1,1,0,3.360726595,0,0,0,0,-3.26157E-05,0,0,0,0
4,240.0456126,11/04/2013 08:20:30,240.0456129,1,1,0,3.361052513,0,0,0,0,0,0,0,0,0
5,300.0601088,11/04/2013 08:21:30,300.0601091,1,1,0,3.361378431,0,0,0,0,3.2568E-05,0,0,0,0
6,360.0747148,11/04/2013 08:22:30,360.0747151,1,1,0,3.361378431,0,0,0,0,-3.26157E-05,0,0,0,0
7,420.0891465,11/04/2013 08:23:30,420.0891468,1,1,0,3.36170435,0,0,0,0,3.2568E-05,0,0,0,0
8,480.1039696,11/04/2013 08:24:30,480.1039698,1,1,0,3.36154151,0,0,0,0,-6.51836E-05,0,0,0,0
9,540.1182269,11/04/2013 08:25:30,540.1182272,1,1,0,3.361867428,0,0,0,0,-3.2568E-05,0,0,0,0
10,600.13305,11/04/2013 08:26:30,600.1330504,1,1,0,3.36170435,0,0,0,0,0,0,0,0,0
11,660.1472115,11/04/2013 08:27:30,660.1472118,1,1,0,3.36170435,0,0,0,0,-6.51836E-05,0,0,0,0
12,720.1618316,11/04/2013 08:28:30,720.1618319,1,1,0,3.361867428,0,0,0,0,3.26157E-05,0,0,0,0
13,780.1763043,11/04/2013 08:29:30,780.1763046,1,1,0,3.36170435,0,0,0,0,0,0,0,0,0
14,840.1912402,11/04/2013 08:30:30,840.1912406,1,1,0,3.361867428,0,0,0,0,3.26157E-05,0,0,0,0
15,900.2053075,11/04/2013 08:31:30,900.2053079,1,1,0,3.36170435,0,0,0,0,6.51836E-05,0,0,0,0
16,960.2197605,11/04/2013 08:32:30,960.2197608,1,1,0,3.36170435,0,0,0,0,0,0,0,0,0
17,1020.234284,11/04/2013 08:33:30,1020.234284,1,1,0,3.361378431,0,0,0,0,-3.26157E-05,0,0,0,0
18,1080.248792,11/04/2013 08:34:30,1080.248793,1,1,0,3.361215591,0,0,0,0,3.26157E-05,0,0,0,0
19,1140.26331,11/04/2013 08:35:30,1140.263311,1,1,0,3.361215591,0,0,0,0,0,0,0,0,0
20,1200.277897,11/04/2013 08:36:31,1200.277897,1,1,0,3.360889673,0,0,0,0,0,0,0,0,0
21,1260.292348,11/04/2013 08:37:31,1260.292348,1,1,0,3.360726595,0,0,0,0,-3.26157E-05,0,0,0,0
22,1320.306939,11/04/2013 08:38:31,1320.306939,1,1,0,3.360726595,0,0,0,0,3.2568E-05,0,0,0,0
23,1380.321367,11/04/2013 08:39:31,1380.321367,1,1,0,3.360400915,0,0,0,0,-3.2568E-05,0,0,0,0
24,1440.335902,11/04/2013 08:40:31,1440.335902,1,1,0,3.360237837,0,0,0,0,-3.26157E-05,0,0,0,0
25,1500.350405,11/04/2013 08:41:31,1500.350405,1,1,0,3.360400915,0,0,0,0,3.26157E-05,0,0,0,0
26,1560.364917,11/04/2013 08:42:31,1560.364917,1,1,0,3.360074997,0,0,0,0,-6.51836E-05,0,0,0,0
27,1620.379513,11/04/2013 08:43:31,1620.379513,1,1,0,3.360074997,0,0,0,0,3.26157E-05,0,0,0,0
28,1680.394051,11/04/2013 08:44:31,1680.394051,1,1,0,3.359911919,0,0,0,0,0,0,0,0,0
29,1740.408465,11/04/2013 08:45:31,1740.408465,1,1,0,3.359911919,0,0,0,0,6.51836E-05,0,0,0,0
30,1800.422994,11/04/2013 08:46:31,1800.422994,1,1,0,3.359586,0,0,0,0,3.2568E-05,0,0,0,0
31,1860.437486,11/04/2013 08:47:31,1860.437487,1,1,0,3.359586,0,0,0,0,3.2568E-05,0,0,0,0
32,1920.452224,11/04/2013 08:48:31,1920.452225,1,1,0,3.359423161,0,0,0,0,-6.51836E-05,0,0,0,0
33,1980.466609,11/04/2013 08:49:31,1980.466609,1,1,0,3.359423161,0,0,0,0,3.26157E-05,0,0,0,0
34,2040.481042,11/04/2013 08:50:31,2040.481042,1,1,0,3.359260082,0,0,0,0,3.2568E-05,0,0,0,0
35,2100.495579,11/04/2013 08:51:31,2100.49558,1,1,0,3.359097242,0,0,0,0,0,0,0,0,0
