Data_Point,Test_Time(s),Date_Time,Step_Time(s),Step_Index,Cycle_Index,Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),dV/dt(V/s),Internal_Resistance(Ohm),Is_FC_Data,AC_Impedance(Ohm),ACI_Phase_Angle(Deg)
1,60.01481897,09/23/2013 09:29:44,60.01481925,1,1,0,3.469737768,0,0,0,0,3.2568E-05,0,0,0,0
2,120.0293924,09/23/2013 09:30:44,120.0293928,1,1,0,3.469900846,0,0,0,0,3.26157E-05,0,0,0,0
3,180.0438674,09/23/2013 09:31:44,180.0438677,1,1,0,3.469900846,0,0,0,0,3.26157E-05,0,0,0,0
4,240.0584226,09/23/2013 09:32:44,240.0584229,1,1,0,3.470063686,0,0,0,0,3.2568E-05,0,0,0,0
5,300.0729437,09/23/2013 09:33:44,300.072944,1,1,0,3.469900846,0,0,0,0,0,0,0,0,0
6,360.0875141,09/23/2013 09:34:44,360.0875144,1,1,0,3.469900846,0,0,0,0,0,0,0,0,0
7,420.1020483,09/23/2013 09:35:44,420.1020487,1,1,0,3.470063686,0,0,0,0,0,0,0,0,0
8,480.1165409,09/23/2013 09:36:44,480.1165412,1,1,0,3.470063686,0,0,0,0,0,0,0,0,0
9,540.1311457,09/23/2013 09:37:44,540.131146,1,1,0,3.470063686,0,0,0,0,0,0,0,0,0
10,600.1456656,09/23/2013 09:38:44,600.1456659,1,1,0,3.470226765,0,0,0,0,3.26157E-05,0,0,0,0
11,660.1601438,09/23/2013 09:39:44,660.1601441,1,1,0,3.470226765,0,0,0,0,0,0,0,0,0
12,720.1747037,09/23/2013 09:40:44,720.1747039,1,1,0,3.470226765,0,0,0,0,0,0,0,0,0
13,780.1892161,09/23/2013 09:41:44,780.1892163,1,1,0,3.470226765,0,0,0,0,0,0,0,0,0
14,840.2037358,09/23/2013 09:42:44,840.2037361,1,1,0,3.470389605,0,0,0,0,0,0,0,0,0
15,900.2182685,09/23/2013 09:43:44,900.2182688,1,1,0,3.470389605,0,0,0,0,0,0,0,0,0
16,960.2328152,09/23/2013 09:44:44,960.2328155,1,1,0,3.470389605,0,0,0,0,3.2568E-05,0,0,0,0
17,1020.247435,09/23/2013 09:45:45,1020.247435,1,1,0,3.470226765,0,0,0,0,3.26157E-05,0,0,0,0
18,1080.261888,09/23/2013 09:46:45,1080.261888,1,1,0,3.470226765,0,0,0,0,0,0,0,0,0
19,1140.276408,09/23/2013 09:47:45,1140.276408,1,1,0,3.470063686,0,0,0,0,-3.26157E-05,0,0,0,0
20,1200.292258,09/23/2013 09:48:45,1200.292258,1,1,0,3.470226765,0,0,0,0,3.26157E-05,0,0,0,0
21,1260.305808,09/23/2013 09:49:45,1260.305808,1,1,0,3.470226765,0,0,0,0,-3.2568E-05,0,0,0,0
22,1320.320024,09/23/2013 09:50:45,1320.320025,1,1,0,3.470226765,0,0,0,0,0,0,0,0,0
23,1380.334541,09/23/2013 09:51:45,1380.334541,1,1,0,3.470552444,0,0,0,0,6.5136E-05,0,0,0,0
24,1440.349147,09/23/2013 09:52:45,1440.349147,1,1,0,3.470226765,0,0,0,0,0,0,0,0,0
25,1500.363639,09/23/2013 09:53:45,1500.363639,1,1,0,3.470226765,0,0,0,0,3.26157E-05,0,0,0,0
26,1560.37848,09/23/2013 09:54:45,1560.37848,1,1,0,3.470226765,0,0,0,0,0,0,0,0,0
27,1620.392678,09/23/2013 09:55:45,1620.392679,1,1,0,3.470226765,0,0,0,0,0,0,0,0,0
28,1680.408387,09/23/2013 09:56:45,1680.408388,1,1,0,3.470389605,0,0,0,0,3.2568E-05,0,0,0,0
29,1740.421746,09/23/2013 09:57:45,1740.421746,1,1,0,3.470226765,0,0,0,0,0,0,0,0,0
30,1800.436272,09/23/2013 09:58:45,1800.436273,1,1,0,3.470389605,0,0,0,0,0,0,0,0,0
31,1860.450799,09/23/2013 09:59:45,1860.4508,1,1,0,3.470389605,0,0,0,0,-3.2568E-05,0,0,0,0
32,1920.465418,09/23/2013 10:00:45,1920.465419,1,1,0,3.470063686,0,0,0,0,-3.26157E-05,0,0,0,0
33,1980.480037,09/23/2013 10:01:45,1980.480037,1,1,0,3.470389605,0,0,0,0,6.51836E-05,0,0,0,0
34,2040.49441,09/23/2013 10:02:45,2040.49441,1,1,0,3.470063686,0,0,0,0,0,0,0,0,0
35,2100.508929,09/23/2013 10:03:45,2100.50893,1,1,0,3.470389605,0,0,0,0,9.77516E-05,0,0,0,0
36,2160.523465,09/23/2013 10:04:45,2160.523465,1,1,0,3.470226765,0,0,0,0,0,0,0,0,0
37,2220.538053,09/23/2013 10:05:45,2220.538053,1,1,0,3.470226765,0,0,0,0,3.26157E-05,0,0,0,0
38,2280.552531,09/23/2013 10:06:45,2280.552531,1,1,0,3.470226765,0,0,0,0,-3.2568E-05,0,0,0,0
39,2340.567082,09/23/2013 10:07:45,2340.567082,1,1,0,3.470063686,0,0,0,0,-3.26157E-05,0,0,0,0
40,2400.581669,09/23/2013 10:08:45,2400.581669,1,1,0,3.470389605,0,0,0,0,3.2568E-05,0,0,0,0
41,2460.596307,09/23/2013 10:09:45,2460.596307,1,1,0,3.470226765,0,0,0,0,0,0,0,0,0
42,2520.610718,09/23/2013 10:10:45,2520.610718,1,1,0,3.470063686,0,0,0,0,-3.26157E-05,0,0,0,0
43,2580.625258,09/23/2013 10:11:45,2580.625258,1,1,0,3.470226765,0,0,0,0,6.51836E-05,0,0,0,0
44,2640.639718,09/23/2013 10:12:45,2640.639718,1,1,0,3.470063686,0,0,0,0,0,0,0,0,0
45,2700.654263,09/23/2013 10:13:45,2700.654263,1,1,0,3.470063686,0,0,0,0,-3.26157E-05,0,0,0,0
46,2760.668793,09/23/2013 10:14:45,2760.668793,1,1,0,3.470226765,0,0,0,0,3.26157E-05,0,0,0,0
47,2820.683382,09/23/2013 10:15:45,2820.683383,1,1,0,3.470063686,0,0,0,0,-3.26157E-05,0,0,0,0
48,2880.697928,09/23/2013 10:16:45,2880.697928,1,1,0,3.470063686,0,0,0,0,0,0,0,0,0
49,2940.71239,09/23/2013 10:17:45,2940.71239,1,1,0,3.469900846,0,0,0,0,-3.2568E-05,0,0,0,0
50,3000.726911,09/23/2013 10:18:45,3000.726911,1,1,0,3.470226765,0,0,0,0,6.51836E-05,0,0,0,0
51,3060.741449,09/23/2013 10:19:45,3060.74145,1,1,0,3.470063686,0,0,0,0,-3.26157E-05,0,0,0,0
52,3120.756141,09/23/2013 10:20:45,3120.756141,1,1,0,3.470389605,0,0,0,0,3.2568E-05,0,0,0,0
53,3180.77053,09/23/2013 10:21:45,3180.770531,1,1,0,3.470063686,0,0,0,0,6.51836E-05,0,0,0,0
54,3240.785114,09/23/2013 10:22:45,3240.785114,1,1,0,3.469900846,0,0,0,0,0,0,0,0,0
55,3300.799579,09/23/2013 10:23:45,3300.79958,1,1,0,3.470226765,0,0,0,0,6.51836E-05,0,0,0,0
56,3360.814131,09/23/2013 10:24:45,3360.814131,1,1,0,3.470063686,0,0,0,0,-3.26157E-05,0,0,0,0
57,3420.828659,09/23/2013 10:25:45,3420.82866,1,1,0,3.469900846,0,0,0,0,-3.2568E-05,0,0,0,0
58,3480.843193,09/23/2013 10:26:45,3480.843194,1,1,0,3.470226765,0,0,0,0,6.51836E-05,0,0,0,0
59,3540.857723,09/23/2013 10:27:45,3540.857723,1,1,0,3.469900846,0,0,0,0,-3.2568E-05,0,0,0,0
60,3600.872272,09/23/2013 10:28:45,3600.872272,1,1,0,3.470226765,0,0,0,0,0,0,0,0,0
61,3660.886798,09/23/2013 10:29:45,3660.886798,1,1,0,3.469900846,0,0,0,0,-6.51836E-05,0,0,0,0
62,3720.901338,09/23/2013 10:30:45,3720.901338,1,1,0,3.470226765,0,0,0,0,3.26157E-05,0,0,0,0
63,3780.915862,09/23/2013 10:31:45,3780.915863,1,1,0,3.469900846,0,0,0,0,-3.2568E-05,0,0,0,0
64,3840.930403,09/23/2013 10:32:45,3840.930403,1,1,0,3.470063686,0,0,0,0,0,0,0,0,0
65,3900.944946,09/23/2013 10:33:45,3900.944947,1,1,0,3.469900846,0,0,0,0,-6.51836E-05,0,0,0,0
66,3960.959244,09/23/2013 10:34:45,3960.959244,1,1,0,3.470063686,0,0,0,0,0,0,0,0,0
67,4020.974025,09/23/2013 10:35:45,4020.974025,1,1,0,3.470063686,0,0,0,0,0,0,0,0,0
68,4080.988553,09/23/2013 10:36:45,4080.988554,1,1,0,3.469900846,0,0,0,0,-3.2568E-05,0,0,0,0
69,4141.003419,09/23/2013 10:37:45,4141.00342,1,1,0,3.470063686,0,0,0,0,-3.26157E-05,0,0,0,0
70,4201.017691,09/23/2013 10:38:45,4201.017691,1,1,0,3.470063686,0,0,0,0,3.2568E-05,0,0,0,0
71,4261.032159,09/23/2013 10:39:45,4261.032159,1,1,0,3.469900846,0,0,0,0,-3.2568E-05,0,0,0,0
72,4321.046787,09/23/2013 10:40:45,4321.046788,1,1,0,3.470063686,0,0,0,0,0,0,0,0,0
73,4381.061254,09/23/2013 10:41:45,4381.061255,1,1,0,3.469900846,0,0,0,0,0,0,0,0,0
74,4441.075788,09/23/2013 10:42:45,4441.075789,1,1,0,3.469574928,0,0,0,0,-9.77516E-05,0,0,0,0
75,4501.090756,09/23/2013 10:43:45,4501.090757,1,1,0,3.469900846,0,0,0,0,3.26157E-05,0,0,0,0
