Data_Point,Test_Time(s),Date_Time,Step_Time(s),Step_Index,Cycle_Index,Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),dV/dt(V/s),Internal_Resistance(Ohm),Is_FC_Data,AC_Impedance(Ohm),ACI_Phase_Angle(Deg)
1,60.0047427,10/30/2013 19:27:01,59.96689128,1,1,0,3.592762232,0,0,0,0,-6.51836E-05,0,0,0,0
2,120.0194898,10/30/2013 19:28:01,119.9816385,1,1,0,3.59308815,0,0,0,0,3.2568E-05,0,0,0,0
3,180.0338227,10/30/2013 19:29:01,179.9959713,1,1,0,3.59292531,0,0,0,0,-6.51836E-05,0,0,0,0
4,240.0483638,10/30/2013 19:30:01,240.0105124,1,1,0,3.593251228,0,0,0,0,3.26157E-05,0,0,0,0
5,300.0629166,10/30/2013 19:31:01,300.0250652,1,1,0,3.59308815,0,0,0,0,0,0,0,0,0
6,360.0774527,10/30/2013 19:32:01,360.0396013,1,1,0,3.59308815,0,0,0,0,-6.51836E-05,0,0,0,0
7,420.0919957,10/30/2013 19:33:01,420.0541443,1,1,0,3.593251228,0,0,0,0,0,0,0,0,0
8,480.1065469,10/30/2013 19:34:02,480.0686955,1,1,0,3.593414068,0,0,0,0,6.51836E-05,0,0,0,0
9,540.1210915,10/30/2013 19:35:02,540.0832401,1,1,0,3.593577147,0,0,0,0,3.26157E-05,0,0,0,0
10,600.1357003,10/30/2013 19:36:02,600.0978488,1,1,0,3.593577147,0,0,0,0,0,0,0,0,0
11,660.1502534,10/30/2013 19:37:02,660.112402,1,1,0,3.593739986,0,0,0,0,0,0,0,0,0
12,720.1647183,10/30/2013 19:38:02,720.1268669,1,1,0,3.593739986,0,0,0,0,0,0,0,0,0
13,780.1792558,10/30/2013 19:39:02,780.1414044,1,1,0,3.593903065,0,0,0,0,3.26157E-05,0,0,0,0
14,840.1937978,10/30/2013 19:40:02,840.1559464,1,1,0,3.593903065,0,0,0,0,0,0,0,0,0
15,900.2083689,10/30/2013 19:41:02,900.1705175,1,1,0,3.594065905,0,0,0,0,0,0,0,0,0
16,960.2229026,10/30/2013 19:42:02,960.1850512,1,1,0,3.593903065,0,0,0,0,-3.2568E-05,0,0,0,0
17,1020.237431,10/30/2013 19:43:02,1020.19958,1,1,0,3.594228983,0,0,0,0,0,0,0,0,0
18,1080.252019,10/30/2013 19:44:02,1080.214168,1,1,0,3.594065905,0,0,0,0,-3.26157E-05,0,0,0,0
19,1140.266529,10/30/2013 19:45:02,1140.228678,1,1,0,3.594228983,0,0,0,0,0,0,0,0,0
20,1200.281131,10/30/2013 19:46:02,1200.243279,1,1,0,3.594228983,0,0,0,0,0,0,0,0,0
