Data_Point,Test_Time(s),Date_Time,Step_Time(s),Step_Index,Cycle_Index,Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),dV/dt(V/s),Internal_Resistance(Ohm),Is_FC_Data,AC_Impedance(Ohm),ACI_Phase_Angle(Deg)
1,60.0001284,09/23/2013 16:21:09,59.92067876,1,1,0,3.597162008,0,0,0,0,-3.2568E-05,0,0,0,0
2,120.0147626,09/23/2013 16:22:09,119.9353131,1,1,0,3.59699893,0,0,0,0,-3.26157E-05,0,0,0,0
3,180.0294444,09/23/2013 16:23:09,179.9499949,1,1,0,3.597324848,0,0,0,0,6.51836E-05,0,0,0,0
4,240.0438033,09/23/2013 16:24:09,239.9643536,1,1,0,3.597162008,0,0,0,0,0,0,0,0,0
5,300.0583761,09/23/2013 16:25:09,299.9789265,1,1,0,3.597162008,0,0,0,0,0,0,0,0,0
6,360.0730791,09/23/2013 16:26:09,359.9936295,1,1,0,3.597162008,0,0,0,0,0,0,0,0,0
7,420.0876635,09/23/2013 16:27:09,420.0082139,1,1,0,3.59699893,0,0,0,0,-6.51836E-05,0,0,0,0
8,480.102199,09/23/2013 16:28:09,480.0227495,1,1,0,3.597162008,0,0,0,0,3.26157E-05,0,0,0,0
9,540.1164961,09/23/2013 16:29:09,540.0370465,1,1,0,3.597162008,0,0,0,0,0,0,0,0,0
10,600.1311383,09/23/2013 16:30:09,600.0516887,1,1,0,3.597162008,0,0,0,0,-3.2568E-05,0,0,0,0
11,660.1457658,09/23/2013 16:31:09,660.0663162,1,1,0,3.597487688,0,0,0,0,6.5136E-05,0,0,0,0
12,720.1602797,09/23/2013 16:32:09,720.0808301,1,1,0,3.597162008,0,0,0,0,0,0,0,0,0
13,780.1748914,09/23/2013 16:33:09,780.0954418,1,1,0,3.597162008,0,0,0,0,0,0,0,0,0
14,840.1893921,09/23/2013 16:34:09,840.1099425,1,1,0,3.597324848,0,0,0,0,0,0,0,0,0
15,900.2040248,09/23/2013 16:35:09,900.1245752,1,1,0,3.597324848,0,0,0,0,-3.2568E-05,0,0,0,0
16,960.21975,09/23/2013 16:36:09,960.1403004,1,1,0,3.597487688,0,0,0,0,3.2568E-05,0,0,0,0
17,1020.233106,09/23/2013 16:37:09,1020.153656,1,1,0,3.597487688,0,0,0,0,3.2568E-05,0,0,0,0
18,1080.247691,09/23/2013 16:38:09,1080.168242,1,1,0,3.597487688,0,0,0,0,0,0,0,0,0
19,1140.262237,09/23/2013 16:39:09,1140.182787,1,1,0,3.597650766,0,0,0,0,6.51836E-05,0,0,0,0
20,1200.27687,09/23/2013 16:40:09,1200.19742,1,1,0,3.597650766,0,0,0,0,3.26157E-05,0,0,0,0
21,1260.291357,09/23/2013 16:41:09,1260.211907,1,1,0,3.597324848,0,0,0,0,-6.51836E-05,0,0,0,0
22,1320.305922,09/23/2013 16:42:09,1320.226472,1,1,0,3.597487688,0,0,0,0,-3.26157E-05,0,0,0,0
23,1380.320505,09/23/2013 16:43:09,1380.241055,1,1,0,3.597324848,0,0,0,0,-6.51836E-05,0,0,0,0
24,1440.335065,09/23/2013 16:44:09,1440.255615,1,1,0,3.597487688,0,0,0,0,-3.26157E-05,0,0,0,0
25,1500.349682,09/23/2013 16:45:09,1500.270232,1,1,0,3.597324848,0,0,0,0,-6.51836E-05,0,0,0,0
26,1560.364189,09/23/2013 16:46:09,1560.284739,1,1,0,3.597487688,0,0,0,0,-6.51836E-05,0,0,0,0
27,1620.378836,09/23/2013 16:47:09,1620.299386,1,1,0,3.597650766,0,0,0,0,3.26157E-05,0,0,0,0
28,1680.393296,09/23/2013 16:48:09,1680.313846,1,1,0,3.597813606,0,0,0,0,3.2568E-05,0,0,0,0
29,1740.407852,09/23/2013 16:49:09,1740.328403,1,1,0,3.597324848,0,0,0,0,-6.51836E-05,0,0,0,0
30,1800.422408,09/23/2013 16:50:09,1800.342959,1,1,0,3.597487688,0,0,0,0,-3.26157E-05,0,0,0,0
31,1860.436971,09/23/2013 16:51:09,1860.357521,1,1,0,3.597650766,0,0,0,0,3.26157E-05,0,0,0,0
32,1920.45153,09/23/2013 16:52:09,1920.37208,1,1,0,3.597487688,0,0,0,0,-6.51836E-05,0,0,0,0
33,1980.4661,09/23/2013 16:53:09,1980.386651,1,1,0,3.597324848,0,0,0,0,-6.51836E-05,0,0,0,0
34,2040.480652,09/23/2013 16:54:09,2040.401203,1,1,0,3.597650766,0,0,0,0,3.26157E-05,0,0,0,0
35,2100.495208,09/23/2013 16:55:09,2100.415758,1,1,0,3.597650766,0,0,0,0,3.26157E-05,0,0,0,0
36,2160.510785,09/23/2013 16:56:09,2160.431335,1,1,0,3.597487688,0,0,0,0,0,0,0,0,0
37,2220.524317,09/23/2013 16:57:09,2220.444867,1,1,0,3.597487688,0,0,0,0,0,0,0,0,0
38,2280.538907,09/23/2013 16:58:09,2280.459457,1,1,0,3.597650766,0,0,0,0,3.26157E-05,0,0,0,0
39,2340.553443,09/23/2013 16:59:10,2340.473993,1,1,0,3.597650766,0,0,0,0,0,0,0,0,0
40,2400.568031,09/23/2013 17:00:10,2400.488581,1,1,0,3.597487688,0,0,0,0,-3.26157E-05,0,0,0,0
41,2460.582744,09/23/2013 17:01:10,2460.503294,1,1,0,3.597650766,0,0,0,0,6.51836E-05,0,0,0,0
42,2520.597123,09/23/2013 17:02:10,2520.517673,1,1,0,3.597487688,0,0,0,0,-6.51836E-05,0,0,0,0
43,2580.611727,09/23/2013 17:03:10,2580.532278,1,1,0,3.597650766,0,0,0,0,6.51836E-05,0,0,0,0
44,2640.62624,09/23/2013 17:04:10,2640.54679,1,1,0,3.597487688,0,0,0,0,-3.26157E-05,0,0,0,0
45,2700.64079,09/23/2013 17:05:10,2700.56134,1,1,0,3.597487688,0,0,0,0,3.2568E-05,0,0,0,0
46,2760.655397,09/23/2013 17:06:10,2760.575947,1,1,0,3.597324848,0,0,0,0,-3.2568E-05,0,0,0,0
47,2820.669924,09/23/2013 17:07:10,2820.590474,1,1,0,3.597487688,0,0,0,0,-3.26157E-05,0,0,0,0
48,2880.68564,09/23/2013 17:08:10,2880.60619,1,1,0,3.597487688,0,0,0,0,-3.26157E-05,0,0,0,0
49,2940.699104,09/23/2013 17:09:10,2940.619654,1,1,0,3.597487688,0,0,0,0,-3.26157E-05,0,0,0,0
50,3000.714757,09/23/2013 17:10:10,3000.635308,1,1,0,3.597487688,0,0,0,0,3.2568E-05,0,0,0,0
51,3060.72817,09/23/2013 17:11:10,3060.64872,1,1,0,3.597324848,0,0,0,0,-6.51836E-05,0,0,0,0
52,3120.742825,09/23/2013 17:12:10,3120.663375,1,1,0,3.597650766,0,0,0,0,3.26157E-05,0,0,0,0
53,3180.757287,09/23/2013 17:13:10,3180.677837,1,1,0,3.597324848,0,0,0,0,-3.2568E-05,0,0,0,0
54,3240.771949,09/23/2013 17:14:10,3240.6925,1,1,0,3.597487688,0,0,0,0,0,0,0,0,0
55,3300.786501,09/23/2013 17:15:10,3300.707051,1,1,0,3.597487688,0,0,0,0,3.2568E-05,0,0,0,0
56,3360.80202,09/23/2013 17:16:10,3360.722571,1,1,0,3.597324848,0,0,0,0,-3.2568E-05,0,0,0,0
57,3420.815571,09/23/2013 17:17:10,3420.736121,1,1,0,3.597324848,0,0,0,0,-3.2568E-05,0,0,0,0
58,3480.83015,09/23/2013 17:18:10,3480.7507,1,1,0,3.597487688,0,0,0,0,0,0,0,0,0
59,3540.844697,09/23/2013 17:19:10,3540.765248,1,1,0,3.597487688,0,0,0,0,-3.26157E-05,0,0,0,0
60,3600.859299,09/23/2013 17:20:10,3600.77985,1,1,0,3.597487688,0,0,0,0,-3.26157E-05,0,0,0,0
61,3660.873835,09/23/2013 17:21:10,3660.794385,1,1,0,3.597650766,0,0,0,0,3.26157E-05,0,0,0,0
62,3720.888382,09/23/2013 17:22:10,3720.808933,1,1,0,3.597650766,0,0,0,0,3.26157E-05,0,0,0,0
63,3780.902941,09/23/2013 17:23:10,3780.823491,1,1,0,3.597650766,0,0,0,0,-3.2568E-05,0,0,0,0
64,3840.917538,09/23/2013 17:24:10,3840.838088,1,1,0,3.597324848,0,0,0,0,-9.77516E-05,0,0,0,0
65,3900.932064,09/23/2013 17:25:10,3900.852614,1,1,0,3.597324848,0,0,0,0,-3.2568E-05,0,0,0,0
66,3960.946542,09/23/2013 17:26:10,3960.867093,1,1,0,3.597487688,0,0,0,0,0,0,0,0,0
67,4020.961188,09/23/2013 17:27:10,4020.881738,1,1,0,3.597487688,0,0,0,0,3.2568E-05,0,0,0,0
68,4080.975766,09/23/2013 17:28:10,4080.896317,1,1,0,3.597324848,0,0,0,0,0,0,0,0,0
69,4140.990352,09/23/2013 17:29:10,4140.910903,1,1,0,3.597487688,0,0,0,0,3.2568E-05,0,0,0,0
70,4201.004939,09/23/2013 17:30:10,4200.92549,1,1,0,3.597487688,0,0,0,0,3.2568E-05,0,0,0,0
71,4261.01943,09/23/2013 17:31:10,4260.939981,1,1,0,3.597650766,0,0,0,0,9.77516E-05,0,0,0,0
72,4321.034008,09/23/2013 17:32:10,4320.954558,1,1,0,3.597487688,0,0,0,0,3.2568E-05,0,0,0,0
